id,nombre,familia,orden,carbohidratos,proteinas,grasas,calorias,azucar
1,Persimmon,Ebenaceae,Rosales,18.0,0.0,0.0,81.0,18.0
2,Strawberry,Rosaceae,Rosales,5.5,0.8,0.4,29.0,5.4
3,Banana,Musaceae,Zingiberales,22.0,1.0,0.2,96.0,17.2
4,Tomato,Solanaceae,Solanales,3.9,0.9,0.2,74.0,2.6
5,Pear,Rosaceae,Rosales,15.0,0.4,0.1,57.0,10.0
6,Durian,Malvaceae,Malvales,27.1,1.5,5.3,147.0,6.75
7,Blackberry,Rosaceae,Rosales,9.0,1.3,0.4,40.0,4.5
8,Lingonberry,Ericaceae,Ericales,11.3,0.75,0.34,50.0,5.74
9,Kiwi,Actinidiaceae,Struthioniformes,15.0,1.1,0.5,61.0,9.0
10,Lychee,Sapindaceae,Sapindales,17.0,0.8,0.44,66.0,15.0
11,Pineapple,Bromeliaceae,Poales,13.12,0.54,0.12,50.0,9.85
12,Fig,Moraceae,Rosales,19.0,0.8,0.3,74.0,16.0
13,Gooseberry,Grossulariaceae,Saxifragales,10.0,0.9,0.6,44.0,0.0
14,Passionfruit,Passifloraceae,Malpighiales,22.4,2.2,0.7,97.0,11.2
15,Plum,Rosaceae,Rosales,11.4,0.7,0.28,46.0,9.92
16,Orange,Rutaceae,Sapindales,8.3,1.0,0.2,43.0,8.2
17,Greenapple,Rosaceae,Rosales,3.1,0.4,0.1,21.0,6.4
18,Raspberry,Rosaceae,Rosales,12.0,1.2,0.7,53.0,4.4
19,Watermelon,Cucurbitaceae,Cucurbitales,8.0,0.6,0.2,30.0,6.0
20,Lemon,Rutaceae,Sapindales,9.0,1.1,0.3,29.0,2.5
21,Mango,Anacardiaceae,Sapindales,15.0,0.82,0.38,60.0,13.7
22,Blueberry,Rosaceae,Rosales,5.5,0.0,0.4,29.0,5.4
23,Apple,Rosaceae,Rosales,11.4,0.3,0.4,52.0,10.3
24,Guava,Myrtaceae,Myrtales,14.0,2.6,1.0,68.0,9.0
25,Apricot,Rosaceae,Rosales,3.9,0.5,0.1,15.0,3.2
26,Melon,Cucurbitaceae,Cucurbitaceae,8.0,0.0,0.0,34.0,8.0
27,Tangerine,Rutaceae,Sapindales,8.3,0.0,0.4,45.0,9.1
28,Pitahaya,Cactaceae,Caryophyllales,7.0,1.0,0.4,36.0,3.0
29,Lime,Rutaceae,Sapindales,8.4,0.3,0.1,25.0,1.7
30,Pomegranate,Lythraceae,Myrtales,18.7,1.7,1.2,83.0,13.7
31,Dragonfruit,Cactaceae,Caryophyllales,9.0,9.0,1.5,60.0,8.0
32,Grape,Vitaceae,Vitales,18.1,0.72,0.16,69.0,16.0
33,Morus,Moraceae,Rosales,9.8,1.44,0.39,43.0,8.1
34,Feijoa,Myrtaceae,Myrtoideae,8.0,0.6,0.4,44.0,3.0
35,Avocado,Lauraceae,Laurales,8.53,2.0,14.66,160.0,0.66
36,Kiwifruit,Actinidiaceae,Ericales,14.6,1.14,0.5,61.0,8.9
37,Cranberry,Ericaceae,Ericales,12.2,0.4,0.1,46.0,4.0
38,Cherry,Rosaceae,Rosales,12.0,1.0,0.3,50.0,8.0
39,Peach,Rosaceae,Rosales,9.5,0.9,0.25,39.0,8.4
40,Jackfruit,Moraceae,Rosales,23.2,1.72,0.0,95.0,19.1
41,Horned Melon,Cucurbitaceae,Cucurbitales,7.56,1.78,1.26,44.0,0.5
42,Hazelnut,Betulaceae,Fagales,17.0,15.0,61.0,628.0,4.3
43,Pomelo,Rutaceae,Sapindales,9.67,0.82,0.0,37.0,8.5
44,Mangosteen,Clusiaceae,Malpighiales,17.91,0.41,0.58,73.0,16.11
45,Pumpkin,Cucurbitaceae,Cucurbitales,4.6,1.1,0.3,25.0,3.3
46,Japanese Persimmon, Ebenaceae, Ericales,19.0,0.6,0.2,70.0,13.0
47,Papaya,Caricaceae,Brassicales,5.8,0.5,0.3,39.0,4.4
48,Annona,Annonaceae,Rosales,19.1,1.5,0.29,92.0,3.4
49,Ceylon Gooseberry,Salicaceae,Malpighiales,9.6,1.2,0.3,47.0,8.1
50,Item,Fabaceae,Zingiberales,13.1,4.5,1.2491847826086955,87.0,14.8
51,Clear,Musaceae,Solanales,6.1,2.8,0.2,53.0,1.7
52,Human,Solanaceae,Solanales,15.697258064516129,3.4,0.6,77.0,5.0
53,Check,Rosaceae,Rosales,7.8,2.9,1.2491847826086955,57.0,14.2
54,Much,Musaceae,Rosales,15.4,1.0,1.7,64.0,4.2
55,Cultural,Rosaceae,Fabales,10.8,2.12494623655914,0.1,71.05208333333333,3.5
56,Peace,Rutaceae,Sapindales,10.9,1.6,0.3,70.0,7.1
57,List,Solanaceae,Sapindales,24.1,3.9,0.4,53.0,5.4
58,Time,Rutaceae,Solanales,22.3,0.3,0.4,71.05208333333333,14.9
59,There,Fabaceae,Sapindales,19.7,2.12494623655914,1.1,111.0,11.4
60,Center,Fabaceae,Fabales,19.3,5.0,1.8,92.0,4.4
61,Doctor,Rosaceae,Zingiberales,9.1,0.3,1.2491847826086955,99.0,6.9
62,Describe,Musaceae,Solanales,27.4,2.12494623655914,0.6,53.0,3.8
63,Southern,Fabaceae,Zingiberales,12.1,2.8,1.8,67.0,11.1
64,Four,Rosaceae,Rosales,21.7,2.3,0.6,91.0,3.4
65,A,Solanaceae,Solanales,13.5,1.2,0.4,105.0,1.2
66,Respond,Rutaceae,Fabales,6.8,3.7,0.1,102.0,4.0
67,With,Solanaceae,Sapindales,24.3,0.1,1.2491847826086955,31.0,11.3
68,Reduce,Musaceae,Rosales,8.9,4.0,0.8,73.0,7.7603977272727285
69,Pass,Musaceae,Zingiberales,11.6,4.9,0.9,59.0,5.9
70,Job,Solanaceae,Zingiberales,21.2,1.2,0.6,62.0,11.4
71,Feeling,Rosaceae,Fabales,15.697258064516129,1.9,1.6,71.0,7.7603977272727285
72,Wide,Musaceae,Solanales,8.2,0.8,1.1,30.0,7.9
73,Cultural,Solanaceae,Rosales,10.6,1.2,0.6,74.0,12.7
74,Look,Musaceae,Sapindales,16.7,1.6,0.9,118.0,11.4
75,Represent,Musaceae,Sapindales,15.3,2.12494623655914,1.2491847826086955,110.0,7.7603977272727285
76,Design,Rutaceae,Fabales,7.6,0.5,0.5,30.0,7.7603977272727285
77,Will,Rutaceae,Sapindales,8.1,4.4,0.9,42.0,7.2
78,You,Fabaceae,Zingiberales,17.5,3.3,1.2491847826086955,110.0,8.6
79,Eye,Musaceae,Sapindales,13.7,1.2,0.4,39.0,6.0
80,Follow,Fabaceae,Zingiberales,17.1,2.5,0.7,35.0,7.7603977272727285
81,Child,Fabaceae,Solanales,18.3,4.2,1.0,34.0,12.6
82,Approach,Solanaceae,Sapindales,29.8,2.12494623655914,0.6,61.0,7.7603977272727285
83,Similar,Solanaceae,Fabales,15.697258064516129,2.12494623655914,1.5,38.0,6.5
84,Woman,Rutaceae,Solanales,15.697258064516129,4.3,1.8,51.0,4.5
85,,Fabaceae,Solanales,24.0,2.2,1.0,68.0,7.7603977272727285
